X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,exp_num
193.0,-17.9,-18.8,192.0,-17.9,9.54e-05,-5.7,0.114,328.0,30.5,0.00425,148.0,-32.0,138.0,148.0,-32.3,9.54e-05,-13.8,0.202,326.0,47.1,0.0135,109.0,-33.6,18.8,108.0,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,0.0,-0.188,-361.0,0.0,0.0,0.226,2.74e-19,328.0,0.0,1.96e-06,12.0,1.0,7.0,50.0,Prep,1
191.0,-17.6,81.2,191.0,-17.9,0.000191,-5.85,0.128,328.0,30.9,0.00474,145.0,-32.4,-12.5,144.0,-32.3,0.0,-9.78,0.166,326.0,49.6,0.0113,105.0,-33.7,-6.25,105.0,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.0,0.0,-361.0,0.0,0.0,0.821,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
189.0,-17.9,-6.25,189.0,-17.9,9.54e-05,-5.84,0.0955,328.0,29.3,0.00345,141.0,-32.3,81.2,141.0,-32.3,-9.54e-05,-8.56,0.179,326.0,50.0,0.0124,102.0,-33.5,62.5,102.0,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.00075,-0.0625,-361.0,0.0,0.0,0.523,2.74e-19,328.0,0.0,3.79e-06,12.0,1.0,2.0,50.0,Prep,1
187.0,-17.8,50.0,187.0,-17.9,-0.000191,-7.31,0.117,327.0,29.1,0.00441,138.0,-32.3,50.0,138.0,-32.3,-9.54e-05,-8.0,0.185,325.0,50.8,0.0128,98.6,-33.7,18.8,98.3,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,0.0,0.0,-361.0,0.0,0.0,-0.28800000000000003,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
185.0,-17.9,25.0,185.0,-17.9,0.0,-7.98,0.113,328.0,29.4,0.00417,135.0,-32.3,37.5,135.0,-32.3,0.0,-9.96,0.154,327.0,49.7,0.0102,95.1,-33.6,18.8,94.8,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.00075,-0.188,-361.0,0.0,0.0,-0.0997,2.74e-19,328.0,0.0,-8.36e-08,12.0,1.0,7.0,50.0,Prep,1
184.0,-17.9,12.5,183.0,-17.9,-9.54e-05,-7.44,0.138,328.0,29.8,0.0050100000000000006,132.0,-32.7,-31.3,132.0,-32.3,0.0,-6.29,0.119,325.0,48.1,0.00784,91.8,-33.7,-37.5,91.6,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.001,0.0,-361.0,0.0,0.0,0.118,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
182.0,-18.1,-56.3,182.0,-17.9,-9.54e-05,-4.52,0.114,327.0,31.3,0.0043,129.0,-32.1,113.0,128.0,-32.3,0.0,-8.62,0.18600000000000005,325.0,48.6,0.0126,88.5,-33.7,-25.0,88.2,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,0.0,0.25,-361.0,0.0,0.0,-0.28800000000000003,2.74e-19,328.0,0.0,-6.990000000000001e-07,12.0,1.0,7.0,50.0,Prep,1
180.0,-17.7,62.5,180.0,-17.9,9.54e-05,-5.53,0.13,328.0,31.6,0.00485,125.0,-32.3,12.5,125.0,-32.3,9.54e-05,-10.9,0.181,326.0,50.6,0.0124,85.0,-33.7,0.0,84.7,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.001,0.0625,-361.0,0.0,0.0,0.118,2.74e-19,328.0,0.0,-1.02e-06,12.0,1.0,7.0,50.0,Prep,1
178.0,-17.9,-37.5,178.0,-17.9,9.54e-05,-7.55,0.122,327.0,30.4,0.00457,122.0,-32.4,-6.25,122.0,-32.3,-9.54e-05,-10.5,0.174,325.0,50.4,0.012,81.7,-33.6,6.25,81.5,-33.7,-9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.00175,-0.687,-361.0,0.0,0.0,2.34,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
176.0,-17.8,106.0,176.0,-17.9,9.54e-05,-8.41,0.133,327.0,28.5,0.005,119.0,-32.3,50.0,119.0,-32.3,-9.54e-05,-8.39,0.177,325.0,49.4,0.012,78.4,-33.7,-12.5,78.1,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,0.004,1.19,-361.0,0.0,0.0,-0.28800000000000003,2.74e-19,328.0,0.0,7.61e-06,12.0,1.0,7.0,50.0,Prep,1
175.0,-17.8,43.8,174.0,-17.9,-9.54e-05,-8.81,0.131,328.0,30.3,0.00478,116.0,-32.2,131.0,115.0,-32.3,-9.54e-05,-11.3,0.165,327.0,51.2,0.011000000000000001,74.9,-33.6,50.0,74.6,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.00075,0.375,-361.0,0.0,0.0,-0.18,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
173.0,-18.0,-25.0,173.0,-17.9,0.000191,-5.78,0.127,327.0,29.9,0.00475,112.0,-32.3,37.5,112.0,-32.3,-0.000191,-10.8,0.155,325.0,49.3,0.0104,71.6,-33.5,-6.25,71.3,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.0,-0.188,-361.0,0.0,0.0,0.821,2.74e-19,328.0,0.0,2.91e-06,12.0,1.0,7.0,50.0,Prep,1
171.0,-17.8,18.8,171.0,-17.9,9.54e-05,-7.39,0.127,327.0,30.2,0.00468,109.0,-32.2,43.8,109.0,-32.3,-9.54e-05,-12.8,0.172,325.0,43.2,0.0114,68.3,-33.5,31.3,68.0,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.001,-0.25,-361.0,0.0,0.0,0.415,2.74e-19,328.0,0.0,-1.06e-06,12.0,1.0,7.0,50.0,Prep,1
169.0,-17.9,6.25,169.0,-17.9,-9.54e-05,-6.08,0.125,328.0,31.0,0.00472,106.0,-32.3,12.5,106.0,-32.3,0.0,-12.6,0.196,326.0,47.3,0.0134,64.7,-33.8,-50.0,64.5,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.0,0.25,-361.0,0.0,0.0,-0.6940000000000001,2.74e-19,328.0,0.0,0.0,12.0,1.0,2.0,50.0,Prep,1
167.0,-17.8,6.25,167.0,-17.9,-9.54e-05,-6.89,0.131,327.0,31.8,0.00491,103.0,-32.3,37.5,103.0,-32.3,-9.54e-05,-11.4,0.185,325.0,50.2,0.0126,61.5,-33.7,-25.0,61.2,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.00325,-1.56,-361.0,0.0,0.0,0.00893,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
166.0,-17.8,50.0,166.0,-17.9,9.54e-05,-6.42,0.11,328.0,29.8,0.0041,99.6,-32.4,0.0,99.3,-32.3,-0.000191,-11.0,0.161,326.0,46.6,0.0109,58.1,-33.7,6.25,57.9,-33.7,-9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.00025,0.812,-361.0,0.0,0.0,0.00893,2.74e-19,328.0,0.0,-2.82e-07,12.0,1.0,7.0,50.0,Prep,1
164.0,-17.9,-43.8,164.0,-17.9,0.000191,-7.26,0.112,328.0,29.8,0.0041600000000000005,96.2,-32.1,87.5,95.9,-32.3,0.0,-12.2,0.203,326.0,49.4,0.0138,54.6,-33.6,43.8,54.4,-33.7,0.000191,0.0,0.0,0.0,0.0,-361.0,0.0,0.25,-361.0,0.0,0.0,-0.28800000000000003,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
162.0,-18.0,18.8,162.0,-17.9,-9.54e-05,-4.17,0.0986,328.0,28.4,0.00361,93.1,-32.1,119.0,92.8,-32.3,-9.54e-05,-12.3,0.17600000000000002,325.0,48.6,0.0117,51.4,-33.7,6.25,51.1,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.00125,-1.06,-361.0,0.0,0.0,0.118,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
160.0,-18.1,-93.7,160.0,-17.9,-0.000191,-5.34,0.107,328.0,30.5,0.00394,89.9,-32.3,-18.8,89.6,-32.3,-9.54e-05,-10.5,0.181,326.0,50.0,0.0123,48.0,-33.7,6.25,47.8,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,0.003,0.75,-361.0,0.0,0.0,-0.0997,2.74e-19,328.0,0.0,8.51e-07,12.0,1.0,7.0,50.0,Prep,1
158.0,-18.0,-37.5,158.0,-17.9,0.0,-5.22,0.111,328.0,30.1,0.00409,86.5,-32.3,56.3,86.2,-32.3,9.54e-05,-10.2,0.19,326.0,47.6,0.013000000000000001,44.5,-33.7,-12.5,44.3,-33.7,-9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.003,-1.19,-361.0,0.0,0.0,0.117,2.74e-19,328.0,0.0,-2.29e-07,12.0,1.0,7.0,50.0,Prep,1
157.0,-17.9,-12.5,157.0,-17.9,-9.54e-05,-6.7,0.132,328.0,30.7,0.00494,83.4,-32.2,18.8,83.1,-32.3,-9.54e-05,-14.6,0.202,326.0,43.8,0.0139,41.3,-33.8,6.25,41.0,-33.7,9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.001,0.5,-361.0,0.0,0.0,0.524,2.74e-19,328.0,0.0,0.0,12.0,1.0,7.0,50.0,Prep,1
155.0,-17.7,18.8,155.0,-17.9,-9.54e-05,-7.03,0.139,328.0,30.3,0.00518,80.1,-32.5,-68.7,79.9,-32.3,-9.54e-05,-9.87,0.174,326.0,48.9,0.0119,37.9,-33.6,12.5,37.7,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,-0.00075,-0.375,-361.0,0.0,0.0,0.306,2.74e-19,328.0,0.0,-5.2e-07,12.0,1.0,7.0,50.0,Prep,1
153.0,-17.8,-25.0,153.0,-17.9,9.54e-05,-8.66,0.134,328.0,30.7,0.00498,76.8,-32.0,119.0,76.5,-32.3,-9.54e-05,-9.71,0.208,326.0,50.2,0.0144,34.4,-33.8,-62.5,34.2,-33.7,-9.54e-05,0.0,0.0,0.0,0.0,-361.0,-0.00075,-0.188,-361.0,0.0,0.0,0.00893,2.74e-19,328.0,0.0,9.84e-07,12.0,1.0,7.0,50.0,Prep,1
151.0,-17.2,188.0,151.0,-14.3,358.0,-1.97,0.0687,328.0,23.5,0.00212,73.7,-30.9,419.0,73.5,-25.9,647.0,-3.21,0.0867,326.0,40.6,0.00515,31.2,-32.8,250.0,31.0,-27.0,674.0,0.0,0.0,0.0,0.0,-361.0,-0.00175,-0.438,-361.0,0.0,0.0,0.821,2.74e-19,328.0,0.0,0.0,12.0,1.0,2.0,50.0,Prep,1
151.0,0.1,31.3,151.0,0.0,0.0,1.17,0.033,329.0,1.81,1.33e-05,73.0,0.05,6.25,73.0,0.0,0.0,1.18,0.0235,328.0,0.991,0.0,30.5,0.05,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,-361.0,0.003,1.19,-361.0,0.0,0.0,0.415,0.0447,329.0,1.19,0.0,12.0,1.0,7.0,50.0,Prep,1
151.0,-0.075,-37.5,151.0,0.0,0.0,0.45,0.0276,329.0,4.82,-1.44e-05,73.0,-0.025,-12.5,73.0,0.0,0.0,0.7,0.017,328.0,3.32,-1.54e-06,30.5,-0.025,-12.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,-361.0,0.00225,1.38,-361.0,0.0,0.0,-0.0997,0.034,329.0,1.29,0.0,12.0,1.0,9.0,50.0,Prep,1
151.0,0.075,43.8,151.0,0.0,0.0,0.6509999999999999,0.0402,328.0,2.0,1.1e-05,73.0,0.025,25.0,73.0,0.0,0.0,-1.54,0.0205,327.0,4.47,2.77e-06,30.5,0.05,25.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,-361.0,5.73,101.0,-361.0,6.6,100.0,60.1,2.61,322.0,26.5,0.0576,12.0,1.0,9.0,50.0,Prep,1
151.0,0.075,37.5,151.0,0.0,0.0,0.878,0.0377,327.0,1.56,7.499999999999999e-06,73.0,0.025,6.25,73.0,0.0,0.0,-0.1,0.0184,325.0,1.82,1.77e-06,30.2,-5.88,-25.0,30.1,-6.0,0.0,0.0,0.0,0.0,0.0,-360.0,15.8,98.3,-360.0,16.6,100.0,56.7,2.56,318.0,44.9,0.15,12.0,1.0,12.0,6.0,Layer 1 Up,1
151.0,-0.075,-37.5,151.0,0.0,0.0,0.664,0.0332,325.0,4.3,3.56e-06,73.0,-0.075,-31.3,73.0,0.0,0.0,1.98,0.0194,324.0,0.51,-3.39e-06,29.5,-5.8,-12.5,29.5,-2.67,778.0,0.0,0.0,0.0,0.0,-358.0,26.3,88.5,-358.0,27.0,100.0,54.7,2.41,317.0,72.8,0.231,12.0,1.0,14.0,6.0,Layer 1 Up,1
151.0,-6.0,6.25,150.0,-6.0,0.0,-8.1,0.0983,323.0,10.2,0.00126,73.0,0.05,25.0,73.0,0.0,0.0,-0.0991,0.0258,322.0,1.1,1.7e-06,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-355.0,35.9,98.9,-354.0,36.6,100.0,62.0,2.61,309.0,88.4,0.341,12.0,1.0,14.0,6.0,Layer 1 Up,1
150.0,-6.15,-43.8,150.0,-6.0,0.0,-6.42,0.101,322.0,11.5,0.00126,73.0,0.05,18.8,73.0,0.0,0.0,0.22,0.034,322.0,1.29,-3.55e-06,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-351.0,45.9,125.0,-350.0,46.6,100.0,59.0,2.65,306.0,109.0,0.441,12.0,1.0,14.0,6.0,Layer 1 Up,1
149.0,-5.93,62.5,149.0,-6.0,0.0,-6.67,0.098,325.0,14.2,0.00118,73.0,-0.1,-50.0,73.0,0.0,0.0,1.18,0.0209,324.0,2.25,-1.26e-06,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-345.0,53.7,-51.0,-345.0,53.3,-9.54e-07,9.37,0.389,324.0,112.0,0.0746,12.0,1.0,14.0,6.0,Layer 1 Up,1
149.0,-5.93,-12.5,149.0,-6.0,0.0,-5.99,0.113,325.0,13.6,0.00144,73.0,0.05,31.3,73.0,0.0,0.0,-5.37,0.0413,325.0,8.21,0.0,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-340.0,53.2,-54.8,-340.0,53.3,0.0,27.3,1.2,320.0,117.0,0.231,12.0,1.0,14.0,6.0,Layer 1 Up,1
148.0,-5.9,12.5,148.0,-6.0,0.0,-5.65,0.0976,326.0,13.9,0.00121,73.0,0.05,25.0,73.0,0.0,0.0,6.29,0.0396,325.0,6.91,1.69e-07,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-335.0,53.3,10.3,-335.0,53.3,0.0,22.8,0.917,319.0,116.0,0.17600000000000002,12.0,1.0,2.0,6.0,Layer 1 Up,1
148.0,-5.82,62.5,147.0,-6.0,0.0,-5.9,0.0915,326.0,14.6,0.00111,73.0,-0.025,-12.5,73.0,0.0,0.0,1.98,0.0201,325.0,0.263,-3.05e-07,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-329.0,53.3,-21.8,-329.0,53.3,0.0,20.6,0.872,322.0,120.0,0.168,12.0,1.0,14.0,6.0,Layer 1 Up,1
147.0,-6.2,-75.0,147.0,-6.0,0.0,-3.92,0.0813,326.0,12.7,0.00104,73.0,0.025,12.5,73.0,0.0,0.0,1.66,0.0375,325.0,0.731,-6.28e-07,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-324.0,53.3,21.8,-324.0,53.3,-9.54e-07,21.9,0.979,320.0,117.0,0.189,12.0,1.0,14.0,6.0,Layer 1 Up,1
146.0,-5.9,-25.0,146.0,-6.0,0.0,-6.86,0.123,326.0,14.6,0.00154,73.0,0.0,0.0,73.0,0.0,0.0,6.13,0.0553,325.0,7.42,-2.01e-06,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-319.0,53.3,-13.3,-319.0,53.3,0.0,27.0,0.906,319.0,119.0,0.172,12.0,1.0,14.0,6.0,Layer 1 Up,1
146.0,-6.03,-18.8,146.0,-5.97,0.731,-4.75,0.0939,326.0,14.3,0.00122,73.0,0.5,-18.8,73.0,0.595,7.52,3.38,0.0394,325.0,5.11,2.04e-05,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-313.0,53.3,-12.4,-313.0,53.3,0.0,25.0,0.884,322.0,122.0,0.16699999999999998,12.0,1.0,14.0,6.0,Layer 1 Up,1
145.0,-5.82,6.25,145.0,-5.86,1.63,-5.25,0.0894,326.0,13.5,0.00107,73.1,1.4,43.8,73.1,1.31,7.38,3.09,0.0682,325.0,6.47,0.000196,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-308.0,53.2,-19.7,-308.0,53.3,0.0,23.2,1.04,320.0,118.0,0.201,12.0,1.0,15.0,6.0,Layer 1 Up,1
145.0,-5.82,-68.7,145.0,-5.64,2.55,-3.16,0.0814,326.0,13.1,0.00102,73.3,1.92,6.25,73.3,2.04,7.12,7.05,0.129,324.0,10.8,0.000516,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-303.0,53.3,-17.3,-303.0,53.3,9.54e-07,23.1,0.8759999999999999,319.0,117.0,0.168,12.0,1.0,15.0,6.0,Layer 1 Up,1
144.0,-5.2,50.0,144.0,-5.33,3.46,-4.73,0.0836,326.0,14.5,0.0008539999999999999,73.5,2.65,6.25,73.5,2.76,6.72,4.96,0.0862,325.0,9.64,0.00049,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-297.0,53.2,-71.4,-297.0,53.3,9.54e-07,24.3,0.923,321.0,121.0,0.17600000000000002,12.0,1.0,15.0,6.0,Layer 1 Up,1
144.0,-5.07,6.25,144.0,-4.96,4.24,-4.78,0.0729,326.0,10.7,0.0007769999999999999,73.8,3.1,12.5,73.8,3.38,6.26,4.35,0.0704,325.0,9.82,0.0004280000000000001,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-292.0,53.3,-4.0,-292.0,53.3,0.0,25.0,0.91,321.0,120.0,0.175,12.0,1.0,15.0,6.0,Layer 1 Up,1
143.0,-4.47,-12.5,143.0,-4.49,4.99,-6.44,0.109,326.0,11.3,0.000986,74.2,3.95,18.8,74.2,3.98,5.67,5.97,0.0993,324.0,11.3,0.0008470000000000001,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-287.0,53.3,-0.937,-287.0,53.3,0.0,21.2,1.02,319.0,115.0,0.198,12.0,1.0,15.0,6.0,Layer 1 Up,1
143.0,-4.05,6.25,143.0,-3.94,5.69,-4.21,0.0801,326.0,11.3,0.00067,74.6,4.63,-37.5,74.6,4.53,4.97,1.96,0.0815,325.0,15.0,0.000773,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-281.0,53.2,-72.7,-281.0,53.3,0.0,26.3,1.03,321.0,120.0,0.196,12.0,1.0,2.0,6.0,Layer 1 Up,1
142.0,-3.2,50.0,142.0,-3.36,6.25,-4.98,0.0847,326.0,10.5,0.000558,75.1,4.6,-62.5,75.1,4.97,4.25,4.74,0.0771,324.0,12.4,0.0007509999999999999,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-276.0,53.2,-63.9,-276.0,53.3,9.54e-07,23.7,1.04,321.0,118.0,0.2,12.0,1.0,15.0,6.0,Layer 1 Up,1
142.0,-2.7,-18.8,142.0,-2.71,6.74,-3.38,0.0743,326.0,9.91,0.000463,75.6,5.18,-75.0,75.6,5.35,3.43,4.39,0.0806,324.0,15.0,0.0008619999999999999,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-271.0,53.4,27.9,-271.0,53.3,-9.54e-07,20.4,0.8540000000000001,320.0,118.0,0.16399999999999998,12.0,1.0,15.0,6.0,Layer 1 Up,1
142.0,-2.03,43.8,142.0,-1.99,7.13,-5.54,0.0892,326.0,9.21,0.000354,76.2,5.78,-6.25,76.2,5.66,2.52,6.22,0.114,324.0,14.1,0.00146,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-265.0,53.4,5.25,-265.0,53.3,-9.54e-07,18.9,0.835,321.0,120.0,0.161,12.0,1.0,15.0,6.0,Layer 1 Up,1
142.0,-1.45,-68.7,142.0,-1.29,7.38,-3.81,0.0727,326.0,5.95,0.000174,76.7,5.72,31.3,76.8,5.86,1.64,7.9,0.128,324.0,15.0,0.00152,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-260.0,53.1,-63.0,-260.0,53.3,0.0,27.3,1.23,320.0,117.0,0.235,12.0,1.0,15.0,6.0,Layer 1 Up,1
